game_id,date,team_1,team_2,game_number,team_winner,patch_version,season,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20
57,25-Aug-2024,btr,evos,2,btr,1.9.06,14,zhuxin,chip,hylos,ruby,jawhead,fanny,ling,roger,valentina,arlott,harith,phoveus,terizla,tigreal,luo yi,akai,franco,zhask,lolita,julian
58,25-Aug-2024,btr,evos,3,btr,1.9.06,14,zhuxin,chip,hylos,ruby,jawhead,ling,arlott,valentina,moskov,roger,mathilda,phoveus,zhask,minotaur,luo yi,tigreal,akai,alpha,lunox,bane
59,30-Aug-2024,fnoc,dewa,1,fnoc,1.9.06,14,fanny,chip,zhuxin,ling,harith,roger,hayabusa,edith,zhask,hylos,moskov,karrie,faramis,nolan,valentina,joy,julian,terizla,lylia,chou
60,30-Aug-2024,fnoc,dewa,2,dewa,1.9.06,14,fanny,chip,zhuxin,ling,zhask,roger,harith,hayabusa,hylos,nolan,chou,lunox,arlott,phoveus,faramis,kaja,valentina,kadita,edith,tigreal
61,30-Aug-2024,fnoc,dewa,3,fnoc,1.9.06,14,fanny,chip,zhuxin,ling,hylos,roger,harith,edith,hayabusa,faramis,nolan,lunox,chou,valentina,terizla,phoveus,arlott,grock,tigreal,lylia
62,30-Aug-2024,btr,rbl,1,btr,1.9.06,14,hylos,chip,zhuxin,ling,hayabusa,harith,zhask,fanny,ruby,moskov,arlott,roger,nolan,faramis,edith,vexana,valentina,khufra,alpha,tigreal
63,30-Aug-2024,rbl,btr,2,rbl,1.9.06,14,fanny,chip,ruby,ling,hayabusa,moskov,zhask,harith,arlott,lunox,phoveus,lylia,nolan,roger,mathilda,hylos,alpha,jawhead,benedetta,yu zhong
64,30-Aug-2024,btr,rbl,3,btr,1.9.06,14,hylos,chip,zhuxin,ling,hayabusa,fanny,zhask,jawhead,benedetta,roger,ruby,harith,lunox,faramis,mathilda,phoveus,terizla,kaja,beatrix,aurora
65,31-Aug-2024,geek,tlid,1,geek,1.9.06,14,fanny,roger,zhuxin,helcurt,ling,chip,hylos,jawhead,harith,moskov,julian,nolan,phoveus,edith,faramis,x.borg,terizla,vexana,gatotkaca,zhask
66,31-Aug-2024,geek,tlid,2,tlid,1.9.06,14,fanny,chip,zhuxin,roger,ling,helcurt,hylos,harith,terizla,gatotkaca,julian,nolan,moskov,mathilda,valentina,chou,faramis,claude,vexana,carmilla
67,31-Aug-2024,tlid,geek,3,tlid,1.9.06,14,helcurt,fanny,gatotkaca,chip,roger,ling,hylos,moskov,phoveus,nolan,zhuxin,julian,harith,faramis,karrie,vexana,valentina,natan,carmilla,lolita
68,31-Aug-2024,btr,fnoc,1,fnoc,1.9.06,14,zhask,chip,phoveus,zhuxin,hylos,roger,valentina,fanny,harith,ruby,ling,faramis,moskov,arlott,kaja,jawhead,grock,edith,beatrix,barats
69,31-Aug-2024,fnoc,btr,2,btr,1.9.06,14,harith,chip,zhuxin,phoveus,hylos,grock,fanny,zhask,ruby,faramis,terizla,ling,tigreal,barats,roger,moskov,arlott,brody,jawhead,clint
70,31-Aug-2024,btr,fnoc,3,fnoc,1.9.06,14,phoveus,chip,grock,zhuxin,harith,zhask,ruby,fanny,hylos,moskov,ling,faramis,lylia,beatrix,barats,lolita,arlott,jawhead,luo yi,roger
71,31-Aug-2024,ae,rrq,1,rrq,1.9.06,14,zhuxin,chip,roger,fanny,hylos,ling,phoveus,ruby,harith,zhask,hayabusa,alpha,chou,x.borg,tigreal,thamuz,faramis,minotaur,claude,edith
72,31-Aug-2024,ae,rrq,2,ae,1.9.06,14,zhuxin,chip,roger,ling,harith,fanny,hylos,ruby,zhask,luo yi,nolan,hayabusa,chou,karrie,tigreal,edith,arlott,phoveus,lunox,clint
73,31-Aug-2024,ae,rrq,3,rrq,1.9.06,14,roger,chip,harith,ling,zhuxin,fanny,hylos,edith,aurora,nolan,zhask,julian,phoveus,jawhead,tigreal,cici,franco,hanabi,lolita,beatrix
74,1-Sep-2024,rbl,evos,1,rbl,1.9.06,14,hylos,chip,hayabusa,ling,fanny,zhuxin,zhask,jawhead,julian,edith,roger,moskov,tigreal,aurora,chou,valentina,vexana,benedetta,phoveus,arlott
75,1-Sep-2024,evos,rbl,2,rbl,1.9.06,14,hayabusa,chip,fanny,ling,zhask,hylos,zhuxin,roger,phoveus,jawhead,julian,yve,claude,chou,x.borg,tigreal,edith,moskov,arlott,benedetta
76,1-Sep-2024,geek,rrq,1,rrq,1.9.06,14,ruby,chip,harith,helcurt,zhuxin,roger,hylos,aurora,phoveus,vexana,ling,alpha,moskov,franco,tigreal,hanabi,edith,karrie,gatotkaca,bruno
77,1-Sep-2024,rrq,geek,2,geek,1.9.06,14,helcurt,chip,roger,harith,gatotkaca,zhuxin,hylos,vexana,phoveus,julian,valentina,nolan,arlott,ruby,franco,lolita,moskov,claude,minsitthar,terizla
78,1-Sep-2024,rrq,geek,3,rrq,1.9.06,14,helcurt,chip,roger,harith,hylos,zhuxin,phoveus,vexana,edith,valentina,grock,nolan,alpha,natalia,hayabusa,moskov,bruno,ling,beatrix,gatotkaca
79,1-Sep-2024,ae,dewa,1,ae,1.9.06,14,zhuxin,chip,edith,ling,hylos,phoveus,fanny,valentina,ruby,jawhead,luo yi,moskov,roger,tigreal,terizla,grock,julian,harith,arlott,barats
80,1-Sep-2024,ae,dewa,2,ae,1.9.06,14,zhuxin,chip,edith,ling,hylos,fanny,phoveus,terizla,hayabusa,zhask,roger,harith,lunox,aurora,tigreal,faramis,jawhead,chou,lancelot,valentina
